Player,Main Role,Vanguard Wins,Duelist Wins,Strategist Wins,URL
MіrrоR,Strategist,2,0,45,https://rivalsmeta.com/player/1957506385
SJP,Private Profile,0,0,0,https://rivalsmeta.com/player/836560430
averyomi,Private Profile,0,0,0,https://rivalsmeta.com/player/1419815935
Nеcrize,Private Profile,0,0,0,https://rivalsmeta.com/player/465451418
이페,Strategist,0,0,36,https://rivalsmeta.com/player/521707389
VP Sypeh,Strategist,1,1,46,https://rivalsmeta.com/player/1387564419
Екатерина,Strategist,0,0,19,https://rivalsmeta.com/player/1367110328
nectar,Duelist,0,44,1,https://rivalsmeta.com/player/634261528
Ken·,Private Profile,0,0,0,https://rivalsmeta.com/player/1534090570
100T TTK,Vanguard,30,0,0,https://rivalsmeta.com/player/483823744
